planet_id,system_id,timestep,core_mass,envelope_mass,total_mass,total_lum,core_radius,total_radius,semi_major_axis,status,tau23_temp,transit_radius,ice_frac,iron_frac,valid
2,400,2155,0.010097925,0.0,0.010097925,9.819853697966e-07,0.025200064,0.025200064,16.748152,0,11.667396,0.025200064,0.54663787,0.25502002,True
13,400,2155,0.091658645,0.0,0.091658645,9.8603745037592e-06,0.051918545,0.051918545,3.027557,0,27.439905,0.051918545,0.50520276,0.24489097,True
31,400,2155,0.01020221,0.0,0.01020221,1.00057041553644e-06,0.025256205,0.025256205,15.308229,0,12.207381,0.025256205,0.54277942,0.25502002,True
46,400,2155,0.010047067,0.0,0.010047067,9.7147594483166e-07,0.025177759,0.025177759,18.206545,0,11.191925,0.025177759,0.54921954,0.25502002,True
37,400,2155,0.020519732,0.0,0.020519732,2.089898729814e-06,0.031739876,0.031739876,6.0929974,0,19.35151,0.031739876,0.52773563,0.25099396,True
11,400,2155,0.026474076,0.0,0.026474076,2.8012210805528e-06,0.034373638,0.034373638,5.0401697,0,21.266439,0.034373638,0.51101435,0.24846811,True
41,400,2155,0.019505452,0.0,0.019505452,1.9862318464143997e-06,0.031207502,0.031207502,6.4669328,0,18.782571,0.031207502,0.52773705,0.25112901,True
29,400,2155,0.84264292,0.0,0.84264292,0.00014677737608254,0.092567395,0.092567395,0.38660928,0,76.716147,0.092567395,0.19849142,0.24521314,True
7,562,2034,0.02484211,0.0,0.02484211,2.6517562082568e-06,0.033616409,0.033616409,4.2693064,0,21.220062,0.033616409,0.50752847,0.24719809,True
10,562,2034,0.05454245,0.0,0.05454245,5.8776289451242e-06,0.043657702,0.043657702,2.3917495,0,27.075583,0.043657702,0.50439752,0.2448195,True
8,562,2034,0.15698184,0.0,0.15698184,1.7038360070445e-05,0.061596381,0.061596381,3.4147219,0,24.946859,0.061596381,0.50135239,0.24403556,True
47,562,2897,0.69776417,0.002545670361508284,0.700309839421696,0.00016495659606991487,0.09372654153066658,0.11140553861676417,1.4815401,0,40.85676716350835,0.11062419828715542,0.35280724,0.24261219,True
21,562,2034,0.19441268,0.0,0.19441268,3.9065048032086e-05,0.052754081,0.052754081,3.2027012,0,25.46509,0.052754081,0.026190856,0.28335077,True
28,562,2034,0.032079534,0.0,0.032079534,3.4492158750636e-06,0.036574825,0.036574825,5.5122868,0,19.066473,0.036574825,0.50475732,0.2459659,True
14,562,2301,0.74836403,0.0012562812962868758,0.7496203100814475,0.00019203865255736625,0.08467582667870095,0.10333950699926643,0.29110685,0,86.92744139154401,0.10175535924750276,0.086961548,0.24490069,True
40,562,2034,0.03339983,0.0,0.03339983,3.5476068518946e-06,0.037124024,0.037124024,13.962742,0,10.64793,0.037124024,0.50996043,0.24720486,True
33,562,2034,0.019876691,0.0,0.019876691,2.0341642638198e-06,0.031384185,0.031384185,5.5408256,0,20.043086,0.031384185,0.52560051,0.25077124,True
26,562,2034,0.010721663,0.0,0.010721663,1.0689486503314e-06,0.025617788,0.025617788,10.349448,0,14.804424,0.025617788,0.53519938,0.25501984,True
18,562,2011,0.40698452,0.0,0.40698452,4.6027110874473e-05,0.082447747,0.082447747,0.82906401,0,51.65368,0.082447747,0.48107035,0.24323821,True
15,562,2034,0.010071812,0.0,0.010071812,9.9411376724479e-07,0.025125202,0.025125202,14.158945,0,12.700298,0.025125202,0.53984877,0.25502002,True
