pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"Kepler-39 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.152700,,,0,-0.280,0.160,-0.160,0,"[Fe/H]"
"Kepler-308 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.089000,,,0,-0.100,0.240,-0.300,0,"[Fe/H]"
"Kepler-739 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.105400,,,0,-0.220,0.260,-0.280,0,"[Fe/H]"
"Kepler-1268 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.239500,,,0,-0.100,0.220,-0.300,0,"[Fe/H]"
"Kepler-945 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.201400,,,0,0.070,0.170,-0.270,0,"[Fe/H]"
"Kepler-376 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.112700,,,0,-0.160,0.160,-0.160,0,"[Fe/H]"
"Kepler-1123 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.051700,,,0,0.100,0.220,-0.260,0,"[Fe/H]"
"Kepler-1489 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.357900,,,0,-0.480,0.300,-0.280,0,"[Fe/H]"
"Kepler-524 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.079000,,,0,-0.100,0.240,-0.300,0,"[Fe/H]"
"K2-149 b","<a refstr=HIRANO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..127H/abstract target=ref>Hirano et al. 2018</a>",0,0.083000,0.002700,-0.002700,0,0.110,0.120,-0.120,0,"[Fe/H]"
"Kepler-234 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.039900,,,0,0.070,0.170,-0.330,0,"[Fe/H]"
"Kepler-244 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.085700,,,0,-0.200,0.300,-0.260,0,"[Fe/H]"
"Kepler-273 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.036900,,,0,-0.480,0.340,-0.260,0,"[Fe/H]"
"Kepler-749 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.105400,,,0,-1.700,0.300,-0.300,0,"[Fe/H]"
"Kepler-278 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.293800,,,0,0.280,0.101,-0.101,0,"[Fe/H]"
"Kepler-380 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.048600,,,0,-0.160,0.140,-0.140,0,"[Fe/H]"
"Kepler-211 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.049300,,,0,0.120,0.240,-0.260,0,"[Fe/H]"
"Kepler-92 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.275400,,,0,0.160,0.150,-0.100,0,"[Fe/H]"
"Kepler-824 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.056800,,,0,0.120,0.180,-0.320,0,"[Fe/H]"
"Kepler-1347 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.104000,,,0,-0.180,0.160,-0.140,0,"[Fe/H]"
"Kepler-1050 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.151600,,,0,-0.080,0.220,-0.300,0,"[Fe/H]"
"Kepler-1612 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.046800,,,0,-0.140,0.300,-0.260,0,"[Fe/H]"
"Kepler-208 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.053200,,,0,0.020,0.200,-0.300,0,"[Fe/H]"
"Kepler-239 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.093900,,,0,-0.040,0.300,-0.280,0,"[Fe/H]"
"Kepler-329 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.060100,,,0,-0.480,0.340,-0.240,0,"[Fe/H]"
"Kepler-888 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.334100,,,0,-0.260,0.280,-0.300,0,"[Fe/H]"
"Kepler-253 d","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.129100,,,0,0.060,0.260,-0.280,0,"[Fe/H]"
"Kepler-322 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.024700,,,0,-0.460,0.380,-0.280,0,"[Fe/H]"
"Kepler-1121 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.115400,,,0,-0.100,0.220,-0.300,0,"[Fe/H]"
"Kepler-1205 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.019600,,,0,0.140,0.220,-0.240,0,"[Fe/H]"
"Kepler-1523 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.018900,,,0,0.020,0.200,-0.280,0,"[Fe/H]"
"Kepler-1526 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.041800,,,0,-0.240,0.320,-0.320,0,"[Fe/H]"
"Kepler-157 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.069800,,,0,-0.120,0.150,-0.150,0,"[Fe/H]"
"Kepler-1074 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.053000,,,0,-0.100,0.200,-0.100,0,"[Fe/H]"
"Kepler-1308 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.025000,,,0,0.070,0.150,-0.150,0,"[Fe/H]"
"Kepler-331 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.066100,,,0,-0.840,0.300,-0.350,0,"[Fe/H]"
"Kepler-1160 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.075500,,,0,-0.300,0.300,-0.300,0,"[Fe/H]"
"Kepler-770 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.023800,,,0,-0.360,0.360,-0.280,0,"[Fe/H]"
"Kepler-567 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.122900,,,0,0.280,0.160,-0.240,0,"[Fe/H]"
"Kepler-542 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.107400,,,0,0.040,0.220,-0.260,0,"[Fe/H]"
"Kepler-92 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.186000,,,0,0.170,0.109,-0.109,0,"[Fe/H]"
"Kepler-1370 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.156300,,,0,0.160,0.160,-0.360,0,"[Fe/H]"
"Kepler-1153 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.027700,,,0,-0.080,0.280,-0.260,0,"[Fe/H]"
"Kepler-758 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.059700,,,0,-0.140,0.240,-0.340,0,"[Fe/H]"
"Kepler-732 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.014000,,,0,0.140,0.100,-0.100,0,"[Fe/H]"
"Kepler-197 c","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.090500,,,0,-0.380,0.101,-0.101,0,"[Fe/H]"
"Kepler-223 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.075600,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-126 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.162200,,,0,-0.140,0.101,-0.101,0,"[Fe/H]"
"Kepler-402 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.051800,,,0,-0.220,0.220,-0.320,0,"[Fe/H]"
"Kepler-703 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.053500,,,0,-0.120,0.260,-0.280,0,"[Fe/H]"
"Kepler-224 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.038300,,,0,-0.360,0.380,-0.280,0,"[Fe/H]"
"Kepler-1016 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.030700,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-207 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.027500,,,0,-0.020,0.200,-0.300,0,"[Fe/H]"
"Kepler-955 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.108300,,,0,-0.120,0.330,-0.260,0,"[Fe/H]"
"Kepler-744 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.099300,,,0,0.000,0.150,-0.150,0,"[Fe/H]"
"Kepler-191 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.059900,,,0,0.140,0.150,-0.150,0,"[Fe/H]"
"Kepler-1570 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.178400,,,0,-0.240,0.340,-0.300,0,"[Fe/H]"
"KOI-351 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.070900,,,0,-0.400,0.280,-0.300,0,"[Fe/H]"
"Kepler-1030 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.133800,,,0,0.210,0.200,-0.300,0,"[Fe/H]"
"Kepler-325 d","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.217900,,,0,0.160,0.150,-0.150,0,"[Fe/H]"
"Kepler-1505 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.190800,,,0,-0.200,0.270,-0.280,0,"[Fe/H]"
"Kepler-120 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.056100,,,0,-0.170,0.110,-0.110,0,"[Fe/H]"
"Kepler-104 d","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.253900,,,0,-0.520,0.160,-0.100,0,"[Fe/H]"
"Kepler-1540 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.419800,,,0,-0.180,0.300,-0.320,0,"[Fe/H]"
"Kepler-296 e","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.149200,,,0,-0.070,0.110,-0.110,0,"[Fe/H]"
"Kepler-649 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.176100,,,0,-0.380,0.160,-0.120,0,"[Fe/H]"
"Kepler-560 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.088700,,,0,-0.120,0.150,-0.150,0,"[Fe/H]"
"Kepler-553 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.048400,,,0,0.300,0.150,-0.150,0,"[Fe/H]"
"Kepler-461 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.082100,,,0,0.070,0.150,-0.150,0,"[Fe/H]"
"Kepler-357 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.062600,,,0,0.060,0.260,-0.260,0,"[Fe/H]"
"Kepler-957 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.055900,,,0,-0.420,0.300,-0.300,0,"[Fe/H]"
"HD 240210 b","<a refstr=NIEDZIELSKI_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...707..768N/abstract target=ref> Niedzielski et al. 2009 </a>",0,1.160000,,,0,-0.180,0.120,-0.120,0,"[Fe/H]"
"Kepler-870 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.153900,,,0,-0.160,0.250,-0.350,0,"[Fe/H]"
"Kepler-950 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.399300,,,0,-0.460,0.300,-0.280,0,"[Fe/H]"
"HD 40307 d","<a refstr=D_IACUTE_AZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...585A.134D/abstract target=ref>D&iacute;az et al. 2016</a>",0,0.134000,0.002900,-0.002900,0,-0.310,0.030,-0.030,0,"[Fe/H]"
"KOI-3680 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.531900,,,0,-0.120,0.240,-0.280,0,"[Fe/H]"
"Kepler-181 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.039100,,,0,0.180,0.150,-0.150,0,"[Fe/H]"
"Kepler-1002 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.055300,,,0,0.040,0.101,-0.101,0,"[Fe/H]"
"Kepler-216 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.076700,,,0,-0.160,0.200,-0.150,0,"[Fe/H]"
"Kepler-1630 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,1.121800,,,0,-0.200,0.340,-0.280,0,"[Fe/H]"
"Kepler-677 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.067000,,,0,-0.320,0.300,-0.280,0,"[Fe/H]"
"Kepler-989 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.073400,,,0,0.160,0.220,-0.260,0,"[Fe/H]"
"HD 75898 b","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0,1.190000,0.040000,-0.040000,0,0.270,,,0,"[Fe/H]"
"HD 85390 b","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0,1.520000,0.040000,-0.040000,0,-0.080,,,0,"[Fe/H]"
"HD 93083 b","<a refstr=LOVIS_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...437.1121L/abstract target=ref> Lovis et al. 2005 </a>",0,0.477000,,,0,0.150,0.060,-0.060,0,"[Fe/H]"
"Kepler-1045 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.161200,,,0,-0.380,0.360,-0.280,0,"[Fe/H]"
"Kepler-373 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.059200,,,0,-0.280,0.300,-0.260,0,"[Fe/H]"
"HIP 67851 b","<a refstr=WITTENMYER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...800...74W/abstract target=ref>Wittenmyer et al. 2015</a>",0,0.426000,0.020000,-0.020000,0,-0.030,0.100,-0.100,0,"[Fe/H]"
"HD 125612 b","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0,1.370000,0.030000,-0.030000,0,0.240,,,0,"[Fe/H]"
"HD 33283 b","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0,0.150000,0.000000,0.000000,0,0.340,,,0,"[Fe/H]"
"Kepler-218 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.045900,,,0,0.360,0.080,-0.150,0,"[Fe/H]"
"Kepler-327 d","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.090100,,,0,-0.200,0.100,-0.100,0,"[Fe/H]"
"Kepler-897 b","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.077000,,,0,-0.240,0.300,-0.260,0,"[Fe/H]"
"Kepler-233 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.077800,,,0,-0.080,0.290,-0.280,0,"[Fe/H]"
"Kepler-860 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.058000,,,0,-0.040,0.240,-0.280,0,"[Fe/H]"
"HD 5319 b","<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>",0,1.570000,0.130000,-0.130000,0,0.170,,,0,"[Fe/H]"
"HD 63454 b","<a refstr=MOUTOU_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...439..367M/abstract target=ref> Moutou et al. 2005 </a>",0,0.036000,,,0,0.110,0.070,-0.070,0,"[Fe/H]"
"Kepler-867 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.515400,,,0,-0.420,0.360,-0.280,0,"[Fe/H]"
"Kepler-238 b","<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>",0,0.032600,,,0,0.100,0.180,-0.280,0,"[Fe/H]"
"Kepler-92 b","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.119400,,,0,0.170,0.109,-0.109,0,"[Fe/H]"
"Kepler-234 c","<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>",0,0.076500,,,0,0.070,0.170,-0.330,0,"[Fe/H]"
"Kepler-357 b","<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>",0,0.062900,,,0,0.180,0.150,-0.150,0,"[Fe/H]"
"Kepler-183 c","<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>",0,0.101800,,,0,0.020,0.190,-0.300,0,"[Fe/H]"
