pl_name,pl_refname,pl_controv_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio
"WASP-62 b","<a refstr=BROWN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.464..810B/abstract target=ref>Brown et al. 2017</a>",0,0.057100,0.000500,-0.000500,0,0.040,0.080,-0.080,0,"[Fe/H]"
"KELT-14 b","<a refstr=RODRIGUEZ_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....151..138R/abstract target=ref>Rodriguez et al. 2016</a>",0,0.029560,0.000430,-0.000570,0,0.326,0.091,-0.089,0,"[Fe/H]"
"L 98-59 e","<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>",0,0.071700,0.006000,-0.004800,0,-0.460,0.260,-0.260,0,"[Fe/H]"
"TOI-677 b","<a refstr=JORD_AACUTE_N_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..145J/abstract target=ref>Jord&aacute;n et al. 2020</a>",0,0.103800,0.001700,-0.001700,0,0.000,0.050,-0.050,0,"[Fe/H]"
"TOI-2977 b","<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>",0,0.033860,0.000670,-0.000500,0,0.013,0.087,-0.085,0,"[Fe/H]"
"L 98-59 d","<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>",0,0.052000,0.004000,-0.004000,0,-0.500,0.500,-0.500,0,"[Fe/H]"
"HD 56414 b","<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJ...935L..10G/abstract target=ref>Giacalone et al. 2022</a>",0,0.229000,0.004000,-0.004000,0,0.000,0.300,0.000,0,"[Fe/H]"
"TOI-1130 c","<a refstr=HUANG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...892L...7H/abstract target=ref>Huang et al. 2020</a>",0,0.070980,0.000560,-0.000600,0,0.200,,,-1,"[Fe/H]"
"TOI-220 b","<a refstr=HOYER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.3361H/abstract target=ref>Hoyer et al. 2021</a>",0,0.089110,0.001000,-0.001000,0,-0.217,0.044,-0.044,0,"[Fe/H]"
"HD 28109 b","<a refstr=DRANSFIELD_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1364D/abstract target=ref>Dransfield et al. 2022</a>",0,0.135700,0.003400,-0.003400,0,0.000,0.100,-0.100,0,"[Fe/H]"
"HAT-P-30 b","<a refstr=JOHNSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011arXiv1103.3825J/abstract target=ref> Johnson et al. 2011 </a>",0,0.041900,0.000500,-0.000500,0,0.130,0.080,-0.080,0,"[Fe/H]"
"HD 95338 b","<a refstr=D_IACUTE_AZ_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.1860D/abstract target=ref>D&iacute;az et al. 2020</a>",0,0.262000,0.002000,-0.002000,0,0.040,0.100,-0.100,0,"[Fe/H]"
"TOI-481 b","<a refstr=BRAHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..235B/abstract target=ref>Brahm et al. 2020</a>",0,0.097000,0.001000,-0.001000,0,0.260,0.050,-0.050,0,"[Fe/H]"
"WASP-100 b","<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>",0,0.045740,0.000930,-0.001000,0,-0.030,0.100,-0.100,0,"[Fe/H]"
"TOI-776 b","<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>",0,0.065200,0.001500,-0.001500,0,-0.200,0.120,-0.120,0,"[Fe/H]"
"L 98-59 d","<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>",0,0.048600,0.001800,-0.001900,0,-0.460,0.260,-0.260,0,"[Fe/H]"
